순위,종목명,코드,현재가,거래량,시가총액,PER,ROE
8,SK머티리얼즈,036490,"239,300","75,402","25,241",19.73,30.22
11,펄어비스,263750,"189,200","38,900","24,747",12.85,31.62
15,솔브레인홀딩스,036830,"95,900",0,"16,685",12.37,15.06
18,컴투스,078340,"125,500","58,142","16,147",14.49,12.68
64,비에이치,090460,"22,100","1,460,901","7,289",12.37,24.22
66,실리콘웍스,108320,"44,250","174,675","7,197",14.84,8.39
70,서진시스템,178320,"38,950","824,037","7,050",18.48,20.25
76,포스코 ICT,022100,"4,450","381,631","6,766",16.54,11.13
81,오이솔루션,138080,"60,600","471,944","6,438",16.72,44.43
83,이엔에프테크놀로지,102710,"45,150","342,324","6,424",13.03,18.90
84,KG이니시스,035600,"22,850","242,754","6,376",12.84,21.61
94,휴온스,243070,"60,500","665,583","5,978",15.62,21.36
