rank,name,href,code,nowPrice,totalPrice,volume,per,roe
51,LG디스플레이,/item/main.nhn?code=034220,034220,"12,200","43,654","2,023,034",-1.47,-22.35
52,아모레G,/item/main.nhn?code=002790,002790,"51,000","42,054","131,267",45.99,4.12
53,LG이노텍,/item/main.nhn?code=011070,011070,"177,000","41,891","126,478",19.41,4.73
54,맥쿼리인프라,/item/main.nhn?code=088980,088980,"11,400","39,791","604,399",N/A,N/A
55,현대글로비스,/item/main.nhn?code=086280,086280,"103,500","38,812","90,507",6.97,11.25
56,CJ대한통운,/item/main.nhn?code=000120,000120,"166,000","37,868","39,018",53.70,1.41
57,현대건설,/item/main.nhn?code=000720,000720,"33,400","37,193","565,241",8.55,6.30
58,현대중공업지주,/item/main.nhn?code=267250,267250,"232,000","36,653","43,901",-29.53,2.20
59,한화솔루션,/item/main.nhn?code=009830,009830,"22,600","36,129","4,908,459",-12.63,-4.02
60,삼성중공업,/item/main.nhn?code=010140,010140,"5,520","34,776","5,404,101",-2.42,-21.88
61,유한양행,/item/main.nhn?code=000100,000100,"51,000","34,097","266,637",24.75,2.43
62,GS,/item/main.nhn?code=078930,078930,"35,000","32,520","299,045",67.83,6.26
63,삼성카드,/item/main.nhn?code=029780,029780,"28,000","32,440","121,990",9.66,5.04
64,에스원,/item/main.nhn?code=012750,012750,"85,000","32,299","46,771",22.37,11.32
65,DB손해보험,/item/main.nhn?code=005830,005830,"45,500","32,214","157,185",7.04,6.92
66,더존비즈온,/item/main.nhn?code=012510,012510,"108,000","32,047","232,423",66.91,18.78
67,하이트진로,/item/main.nhn?code=000080,000080,"45,300","31,771","841,315",656.52,-3.86
68,롯데지주,/item/main.nhn?code=004990,004990,"30,250","31,735","226,117",-5.92,-5.21
69,한국타이어앤테크놀로지,/item/main.nhn?code=161390,161390,"25,100","31,093","385,393",7.90,6.03
70,이마트,/item/main.nhn?code=139480,139480,"109,000","30,385","441,268",14.15,2.76
71,대림산업,/item/main.nhn?code=000210,000210,"82,000","28,536","132,282",4.92,11.74
72,한미약품,/item/main.nhn?code=128940,128940,"238,000","28,186","48,497",60.09,7.30
73,GS리테일,/item/main.nhn?code=007070,007070,"36,600","28,182","163,319",15.62,6.25
74,현대제철,/item/main.nhn?code=004020,004020,"20,450","27,290","749,187",-12.86,0.10
75,호텔신라,/item/main.nhn?code=008770,008770,"68,800","27,003","358,370",62.21,20.16
76,KODEX 200선물인버스2X,/item/main.nhn?code=252670,252670,"5,145","26,625","187,402,351",N/A,N/A
77,SKC,/item/main.nhn?code=011790,011790,"70,400","26,424","540,480",22.05,3.86
78,한샘,/item/main.nhn?code=009240,009240,"111,000","26,123","260,816",61.56,7.32
79,신풍제약,/item/main.nhn?code=019170,019170,"48,650","25,777","21,620,832","1,081.11",0.80
80,두산밥캣,/item/main.nhn?code=241560,241560,"25,500","25,564","299,964",10.78,7.05
81,CJ,/item/main.nhn?code=001040,001040,"87,100","25,413","68,240",8.37,6.24
82,TIGER 200,/item/main.nhn?code=102110,102110,"28,525","24,917","1,283,585",N/A,N/A
83,쌍용양회,/item/main.nhn?code=003410,003410,"4,910","24,740","1,183,801",18.05,7.02
84,KODEX 레버리지,/item/main.nhn?code=122630,122630,"12,495","24,440","68,379,654",N/A,N/A
85,대우조선해양,/item/main.nhn?code=042660,042660,"22,350","23,960","426,520","2,793.75",-1.22
86,삼성증권,/item/main.nhn?code=016360,016360,"26,700","23,843","326,671",8.22,8.15
87,한국금융지주,/item/main.nhn?code=071050,071050,"42,700","23,795","426,398",5.55,18.14
88,일진머티리얼즈,/item/main.nhn?code=020150,020150,"51,600","23,793","474,882",45.03,8.52
89,한국가스공사,/item/main.nhn?code=036460,036460,"25,750","23,771","220,998",52.34,0.48
90,삼성엔지니어링,/item/main.nhn?code=028050,028050,"11,950","23,422","729,297",8.92,24.62
91,농심,/item/main.nhn?code=004370,004370,"383,500","23,327","19,393",25.72,3.72
92,한국항공우주,/item/main.nhn?code=047810,047810,"23,800","23,199","292,240",11.19,15.84
93,한미사이언스,/item/main.nhn?code=008930,008930,"35,000","23,104","280,623",73.84,4.73
94,NH투자증권,/item/main.nhn?code=005940,005940,"8,190","23,047","1,787,789",7.31,9.12
95,부광약품,/item/main.nhn?code=003000,003000,"34,800","22,564","8,661,034",-209.64,-2.00
96,BGF리테일,/item/main.nhn?code=282330,282330,"129,500","22,383","53,873",15.71,26.46
97,롯데쇼핑,/item/main.nhn?code=023530,023530,"78,600","22,235","128,881",-2.09,-8.14
98,휠라홀딩스,/item/main.nhn?code=081660,081660,"36,400","22,114","624,177",9.66,23.81
99,금호석유,/item/main.nhn?code=011780,011780,"71,700","21,845","224,532",7.79,11.84
100,LG화학우,/item/main.nhn?code=051915,051915,"273,500","21,029","91,820",152.96,N/A
