rank,name,href,code,nowPrice,totalPrice,volume,per,roe
1,삼성전자,/item/main.nhn?code=005930,005930,"52,700","3,146,075","13,646,439",16.82,8.69
2,SK하이닉스,/item/main.nhn?code=000660,000660,"82,800","602,786","2,190,940",38.67,4.25
3,NAVER,/item/main.nhn?code=035420,035420,"299,000","491,148","2,106,252",77.20,10.56
4,삼성바이오로직스,/item/main.nhn?code=207940,207940,"731,000","483,666","162,499",173.96,4.77
5,셀트리온,/item/main.nhn?code=068270,068270,"324,500","437,878","1,033,807",129.08,11.19
6,삼성전자우,/item/main.nhn?code=005935,005935,"46,750","384,700","1,747,883",14.92,N/A
7,LG화학,/item/main.nhn?code=051910,051910,"529,000","373,433","468,028",295.86,1.84
8,카카오,/item/main.nhn?code=035720,035720,"355,500","312,293","2,554,771",-120.02,-5.81
9,삼성SDI,/item/main.nhn?code=006400,006400,"391,000","268,869","383,033",92.72,2.94
10,현대차,/item/main.nhn?code=005380,005380,"98,300","210,036","1,094,384",10.42,4.32
11,엔씨소프트,/item/main.nhn?code=036570,036570,"944,000","207,246","127,324",43.22,14.72
12,LG생활건강,/item/main.nhn?code=051900,051900,"1,295,000","202,256","27,494",29.22,20.32
13,삼성물산,/item/main.nhn?code=028260,028260,"104,500","195,297","367,813",17.80,4.77
14,현대모비스,/item/main.nhn?code=012330,012330,"192,500","182,980","279,706",8.52,7.28
15,SK텔레콤,/item/main.nhn?code=017670,017670,"215,000","173,603","283,002",21.17,3.92
16,SK,/item/main.nhn?code=034730,034730,"240,500","169,217","1,058,757",245.66,4.31
17,SK바이오팜,/item/main.nhn?code=326030,326030,"205,500","160,934","1,810,494",-186.82,-313.66
18,POSCO,/item/main.nhn?code=005490,005490,"182,000","158,680","326,230",10.66,4.18
19,KB금융,/item/main.nhn?code=105560,105560,"33,950","141,167","1,722,140",4.43,8.92
20,삼성에스디에스,/item/main.nhn?code=018260,018260,"179,000","138,506","125,840",24.44,11.76
21,신한지주,/item/main.nhn?code=055550,055550,"29,000","138,445","1,708,160",4.17,9.09
22,기아차,/item/main.nhn?code=000270,000270,"32,050","129,919","1,060,042",9.00,6.50
23,SK이노베이션,/item/main.nhn?code=096770,096770,"130,500","120,668","685,259",-6.83,-0.20
24,한국전력,/item/main.nhn?code=015760,015760,"18,700","120,047","2,824,907",-7.82,-3.42
25,LG,/item/main.nhn?code=003550,003550,"67,900","117,166","407,278",9.79,5.87
